#! res.bias res.work
0.000000 0.641148 0.000253
2.500000 1.491348 0.000079
5.000000 0.557992 0.000050
7.500000 0.540813 0.000027
10.000000 0.341342 0.000043
12.500000 0.274499 0.000030
15.000000 0.313354 0.000041
17.500000 0.441144 0.000043
20.000000 0.555927 0.000062
22.500000 0.547012 0.000025
25.000000 0.402993 0.000025
27.500000 0.387705 0.000042
30.000000 0.355604 0.000030
32.500000 0.666930 0.000057
35.000000 1.513120 0.000049
37.500000 0.940605 0.000064
40.000000 1.043149 0.000055
42.500000 0.862681 0.000089
45.000000 0.877086 0.000098
47.500000 1.435560 0.000139
50.000000 1.292534 0.000075
52.500000 1.155715 0.000090
55.000000 0.784261 0.000060
57.500000 0.880207 0.000044
60.000000 1.098046 0.000041
62.500000 0.917679 0.000049
65.000000 0.959775 0.000080
67.500000 1.725482 0.000092
70.000000 1.621194 0.000047
72.500000 1.682833 0.000033
75.000000 1.528589 0.000095
77.500000 1.543017 0.000052
80.000000 1.699612 0.000072
82.500000 1.333831 0.000045
85.000000 1.749679 0.000137
87.500000 2.020861 0.000072
90.000000 1.895764 0.000055
92.500000 2.443597 0.000047
95.000000 1.982491 0.000070
97.500000 2.896030 0.000062
100.000000 3.334254 0.000085
102.500000 3.557216 0.000072
105.000000 3.194326 0.000121
107.500000 3.378877 0.000046
110.000000 3.964855 0.000061
112.500000 4.425200 0.000069
115.000000 3.028361 0.000103
117.500000 4.956880 0.000097
120.000000 4.541748 0.000073
122.500000 3.868383 0.000129
125.000000 5.017881 0.000133
127.500000 5.757020 0.000081
130.000000 5.071139 0.000073
132.500000 3.905698 0.000062
135.000000 4.620074 0.000234
137.500000 3.711478 0.000082
140.000000 4.161215 0.000084
142.500000 3.901610 0.000135
145.000000 2.892782 0.000095
147.500000 2.916622 0.000083
150.000000 3.376835 0.000186
152.500000 4.058850 0.000312
155.000000 3.719657 0.000091
157.500000 3.955400 0.000074
160.000000 4.446862 0.000130
162.500000 5.027656 0.000136
165.000000 4.236018 0.000118
167.500000 5.432624 0.000135
170.000000 3.749266 0.000323
172.500000 3.120690 0.000250
175.000000 3.839875 0.000207
177.500000 3.518555 0.000253
180.000000 3.914723 0.000165
182.500000 3.368316 0.000075
185.000000 3.673278 0.000139
187.500000 4.783514 0.000226
190.000000 4.914902 0.000073
192.500000 4.855849 0.000110
195.000000 4.079261 0.000275
197.500000 4.839405 0.000118
200.000000 5.382112 0.000172
202.500000 6.340744 0.000110
205.000000 5.327763 0.000085
207.500000 4.671002 0.000083
210.000000 3.607852 0.000071
212.500000 4.771287 0.000103
215.000000 3.375938 0.000209
217.500000 2.981467 0.000080
220.000000 3.936004 0.000089
222.500000 4.848779 0.000060
225.000000 6.009132 0.000104
227.500000 5.202661 0.000140
230.000000 4.815574 0.000133
232.500000 5.476022 0.000138
235.000000 4.847368 0.000064
237.500000 5.772285 0.000124
240.000000 6.169781 0.000167
242.500000 6.981904 0.000253
245.000000 8.304760 0.000250
247.500000 7.091639 0.000094
250.000000 8.180117 0.000079
252.500000 8.630691 0.000169
255.000000 7.243637 0.000166
257.500000 6.799664 0.000061
260.000000 7.284316 0.000154
262.500000 7.566879 0.000286
265.000000 8.484056 0.000160
267.500000 11.342947 0.000131
270.000000 12.338179 0.000384
272.500000 10.548198 0.000128
275.000000 10.118254 0.000133
277.500000 10.288369 0.000062
280.000000 11.726332 0.000146
282.500000 10.104285 0.000139
285.000000 11.499877 0.000168
287.500000 13.161231 0.000154
290.000000 12.319289 0.000277
292.500000 11.134653 0.000345
295.000000 11.635962 0.003260
297.500000 12.048221 0.001818
300.000000 12.184493 0.000103
302.500000 13.435023 0.000246
305.000000 11.162278 0.000155
307.500000 10.943616 0.000070
310.000000 12.768391 0.000145
312.500000 12.031968 0.000073
315.000000 10.682692 0.000084
317.500000 11.518079 0.000087
320.000000 13.285226 0.000085
322.500000 10.844658 0.000173
325.000000 9.863629 0.000115
327.500000 8.735933 0.000148
330.000000 9.069615 0.000120
332.500000 10.544008 0.000170
335.000000 8.437508 0.000160
337.500000 9.612676 0.000064
340.000000 10.894958 0.000332
342.500000 11.406337 0.000165
345.000000 12.021507 0.000156
347.500000 13.023064 0.000141
350.000000 14.616672 0.000619
352.500000 13.036893 0.002277
355.000000 13.646535 0.000338
357.500000 13.602053 0.000400
360.000000 13.255918 0.000600
362.500000 12.479546 0.000217
365.000000 12.735368 0.000249
367.500000 14.964387 0.000153
370.000000 13.552055 0.000209
372.500000 13.031755 0.000208
375.000000 13.480057 0.000165
377.500000 14.017643 0.000875
380.000000 12.016884 0.000294
382.500000 11.266292 0.000118
385.000000 11.088536 0.000079
387.500000 10.765719 0.000214
390.000000 13.384973 0.000445
392.500000 14.489450 0.000259
395.000000 14.025165 0.000197
397.500000 14.572128 0.000302
400.000000 13.575921 0.000320
402.500000 13.880699 0.000093
405.000000 13.657124 0.000225
407.500000 13.360748 0.000303
410.000000 15.015161 0.000231
412.500000 13.239562 0.000265
415.000000 13.820650 0.000143
417.500000 13.853331 0.000251
420.000000 14.544801 0.000264
422.500000 13.377789 0.000354
425.000000 14.008629 0.000106
427.500000 13.883769 0.000126
430.000000 11.047602 0.000153
432.500000 11.371996 0.000236
435.000000 12.254579 0.000068
437.500000 13.015135 0.000082
440.000000 13.721001 0.000404
442.500000 13.824515 0.000257
445.000000 15.202171 0.000158
447.500000 18.087042 0.000220
450.000000 18.537507 0.000141
452.500000 14.361054 0.000103
455.000000 17.545470 0.000176
457.500000 18.976233 0.000211
460.000000 15.670091 0.000169
462.500000 18.740993 0.000265
465.000000 16.183362 0.000082
467.500000 16.219237 0.000448
470.000000 17.731448 0.000153
472.500000 19.195480 0.000287
475.000000 18.038237 0.000321
477.500000 18.038799 0.000590
480.000000 19.478118 0.000270
482.500000 19.312573 0.000100
485.000000 18.161088 0.000122
487.500000 17.112677 0.000079
490.000000 16.801523 0.000054
492.500000 17.153733 0.000184
495.000000 16.507594 0.000073
497.500000 15.700683 0.000087
500.000000 15.043159 0.000093
502.500000 16.144449 0.000249
505.000000 14.370401 0.000141
507.500000 16.241632 0.000108
510.000000 17.298114 0.000409
512.500000 13.835872 0.000433
515.000000 14.023016 0.000257
517.500000 14.192694 0.000180
520.000000 15.299395 0.000999
522.500000 14.512477 0.000371
525.000000 15.938223 0.000485
527.500000 16.678238 0.000434
530.000000 16.457088 0.000205
532.500000 14.233325 0.000370
535.000000 14.614623 0.000394
537.500000 14.980665 0.000671
540.000000 14.391364 0.000146
542.500000 14.551995 0.000182
545.000000 14.014201 0.000391
547.500000 14.156502 0.000200
550.000000 14.715257 0.000147
552.500000 16.612822 0.001050
555.000000 18.023760 0.000097
557.500000 16.505747 0.000117
560.000000 14.901825 0.000283
562.500000 17.805101 0.000131
565.000000 15.637923 0.000568
567.500000 13.896013 0.000487
570.000000 14.041423 0.000108
572.500000 15.927238 0.000259
575.000000 17.956585 0.000103
577.500000 19.628524 0.000074
580.000000 16.869867 0.000164
582.500000 16.323134 0.000667
585.000000 16.158669 0.000040
587.500000 20.170015 0.000881
590.000000 17.795342 0.000183
592.500000 15.354467 0.000114
595.000000 14.254991 0.000075
597.500000 16.564383 0.000140
600.000000 14.449208 0.000147
602.500000 13.547410 0.000226
605.000000 13.660686 0.000338
607.500000 16.268668 0.000594
610.000000 15.304812 0.000424
612.500000 16.640571 0.000227
615.000000 19.064453 0.000357
617.500000 23.717347 0.000209
620.000000 23.286077 0.000216
622.500000 24.128207 0.000115
625.000000 23.388506 0.000111
627.500000 22.743785 0.000175
630.000000 23.629035 0.000311
632.500000 24.304582 0.000184
635.000000 20.447488 0.000168
637.500000 22.154868 0.000269
640.000000 24.302310 0.000226
642.500000 23.141431 0.000464
645.000000 22.755273 0.000554
647.500000 21.436568 0.000741
650.000000 22.710728 0.000330
652.500000 23.282319 0.000178
655.000000 23.231924 0.000506
657.500000 22.369656 0.000281
660.000000 21.909471 0.000194
662.500000 22.228930 0.000267
665.000000 20.247225 0.000323
667.500000 21.192148 0.000666
670.000000 22.781339 0.000277
672.500000 23.247381 0.000432
675.000000 22.859433 0.000321
677.500000 22.187336 0.000201
680.000000 20.104410 0.000152
682.500000 18.506749 0.001303
685.000000 21.790565 0.000445
687.500000 21.364949 0.000198
690.000000 20.800454 0.000266
692.500000 21.644262 0.000302
695.000000 22.062916 0.000250
697.500000 21.872521 0.000243
700.000000 21.305653 0.000247
702.500000 20.525169 0.000628
705.000000 20.498846 0.000702
707.500000 24.070002 0.000156
710.000000 25.860115 0.000101
712.500000 24.277389 0.000179
715.000000 20.650886 0.000304
717.500000 20.981547 0.000303
720.000000 20.030605 0.000354
722.500000 22.172318 0.000478
725.000000 22.834724 0.000363
727.500000 22.485954 0.000180
730.000000 23.158942 0.000153
732.500000 22.925205 0.000610
735.000000 24.186480 0.000254
737.500000 24.293034 0.000181
740.000000 21.172990 0.000435
742.500000 20.008962 0.000377
745.000000 18.815124 0.000185
747.500000 18.462318 0.000227
750.000000 18.448174 0.000205
752.500000 19.180933 0.000468
755.000000 16.455910 0.000133
757.500000 17.486165 0.000385
760.000000 17.867375 0.000553
762.500000 19.254059 0.000474
765.000000 16.616988 0.000414
767.500000 18.148710 0.000474
770.000000 19.815865 0.000692
772.500000 18.015062 0.000795
775.000000 18.928411 0.000292
777.500000 19.771232 0.000338
780.000000 21.142559 0.000382
782.500000 20.982012 0.000612
785.000000 19.443203 0.000125
787.500000 22.340295 0.000131
790.000000 25.743113 0.000373
792.500000 23.784467 0.000239
795.000000 25.649073 0.000329
797.500000 23.643127 0.000328
800.000000 23.041467 0.000844
802.500000 23.449045 0.000486
805.000000 25.561471 0.000176
807.500000 25.802541 0.000116
810.000000 29.380203 0.000449
812.500000 28.461077 0.001354
815.000000 26.499570 0.000463
817.500000 25.061925 0.000464
820.000000 28.088779 0.000247
822.500000 28.586101 0.000353
825.000000 26.896130 0.000179
827.500000 27.253802 0.000633
830.000000 27.621559 0.000561
832.500000 27.075096 0.000213
835.000000 29.214245 0.000315
837.500000 30.492620 0.000242
840.000000 32.303720 0.000179
842.500000 29.232933 0.000094
845.000000 28.805761 0.000053
847.500000 29.332462 0.000415
850.000000 27.816135 0.000152
852.500000 30.009006 0.000101
855.000000 30.436481 0.000119
857.500000 31.486979 0.000226
860.000000 32.308472 0.000292
862.500000 32.172942 0.000712
865.000000 34.464788 0.000217
867.500000 33.588191 0.000247
870.000000 31.941858 0.000763
872.500000 30.240705 0.000171
875.000000 31.645714 0.000963
877.500000 31.305016 0.000358
880.000000 33.292916 0.001220
882.500000 34.906128 0.000370
885.000000 34.860680 0.000223
887.500000 35.855975 0.000133
890.000000 31.792310 0.000107
892.500000 33.550860 0.001287
895.000000 34.931490 0.000264
897.500000 31.298014 0.000501
900.000000 32.763447 0.000153
902.500000 35.560585 0.000503
