#! res.bias res.work
0.000000 0.641148 0.000253
2.500000 1.491348 0.000079
5.000000 0.557992 0.000050
7.500000 0.540813 0.000027
10.000000 0.341342 0.000043
12.500000 0.274499 0.000030
15.000000 0.313354 0.000041
17.500000 0.441144 0.000043
20.000000 0.555927 0.000062
22.500000 0.547012 0.000025
25.000000 0.402993 0.000025
27.500000 0.387707 0.000042
30.000000 0.355601 0.000030
32.500000 0.666940 0.000057
35.000000 1.513577 0.000049
37.500000 0.938928 0.000064
40.000000 1.041735 0.000054
42.500000 0.870628 0.000089
45.000000 0.924557 0.000127
47.500000 1.421956 0.000078
50.000000 0.944197 0.000046
52.500000 0.930884 0.000090
55.000000 0.878721 0.000060
57.500000 0.918355 0.000043
60.000000 0.848803 0.000038
62.500000 0.922075 0.000066
65.000000 0.984590 0.000074
67.500000 1.220736 0.000071
70.000000 1.378985 0.000074
72.500000 1.350365 0.000036
75.000000 1.266801 0.000046
77.500000 2.865605 0.000110
80.000000 2.875793 0.000259
82.500000 2.231893 0.000062
85.000000 2.464436 0.000080
87.500000 2.627481 0.000161
90.000000 1.960843 0.000094
92.500000 2.081060 0.000114
95.000000 2.073565 0.000093
97.500000 1.750409 0.000085
100.000000 2.103636 0.000061
102.500000 2.803423 0.000055
105.000000 2.430335 0.000064
107.500000 1.887390 0.000070
110.000000 1.535001 0.000099
112.500000 1.776743 0.000113
115.000000 2.134182 0.000053
117.500000 3.039589 0.000107
120.000000 2.871022 0.000148
122.500000 2.557898 0.000287
125.000000 2.762607 0.000135
127.500000 2.188963 0.000072
130.000000 2.618420 0.000041
132.500000 3.261468 0.000119
135.000000 2.215148 0.000092
137.500000 2.333980 0.000110
140.000000 2.561488 0.000131
142.500000 1.861494 0.000130
145.000000 2.143201 0.000107
147.500000 3.114498 0.000095
150.000000 3.253012 0.000139
152.500000 2.892487 0.000103
155.000000 2.976481 0.000131
157.500000 3.377812 0.000258
160.000000 3.277013 0.000104
162.500000 3.891885 0.000120
165.000000 4.136719 0.000134
167.500000 4.327288 0.000540
170.000000 4.287707 0.000163
172.500000 3.913362 0.000174
175.000000 3.580828 0.000185
177.500000 3.557837 0.000098
180.000000 3.925054 0.000156
182.500000 5.135356 0.000121
185.000000 4.717798 0.000122
187.500000 4.561081 0.000157
190.000000 3.759740 0.000158
192.500000 3.570069 0.000080
195.000000 3.380524 0.000053
197.500000 3.480637 0.000182
200.000000 3.333687 0.000109
202.500000 4.078091 0.000099
205.000000 5.452632 0.000254
207.500000 4.580078 0.000155
210.000000 4.676765 0.000088
212.500000 6.127041 0.000119
215.000000 5.055716 0.000076
217.500000 6.047215 0.000059
220.000000 7.344340 0.000195
222.500000 5.612101 0.000122
225.000000 5.828990 0.000288
227.500000 6.494341 0.000227
230.000000 7.018975 0.000121
232.500000 7.699053 0.000121
235.000000 7.840064 0.000236
237.500000 6.865160 0.000189
240.000000 7.603097 0.000285
242.500000 7.407803 0.000114
245.000000 8.012940 0.000161
247.500000 10.128461 0.000550
250.000000 9.781250 0.000113
252.500000 10.109078 0.000107
255.000000 8.916142 0.000163
257.500000 8.309544 0.000119
260.000000 8.831965 0.000195
262.500000 9.012545 0.000096
265.000000 8.743734 0.000111
267.500000 9.764815 0.000186
270.000000 8.855233 0.000148
272.500000 8.679916 0.000263
275.000000 7.264945 0.000216
277.500000 6.651620 0.000187
280.000000 7.936966 0.000174
282.500000 7.541163 0.000188
285.000000 7.673378 0.000215
287.500000 8.766258 0.000112
290.000000 9.123072 0.000088
292.500000 8.072395 0.000121
295.000000 10.210314 0.000437
297.500000 10.272627 0.000103
300.000000 11.465199 0.000325
302.500000 12.558445 0.000160
305.000000 12.373844 0.000544
307.500000 11.732414 0.000380
310.000000 13.012810 0.000945
312.500000 13.223368 0.000274
315.000000 12.879685 0.000245
317.500000 12.049660 0.000208
320.000000 14.717852 0.000110
322.500000 14.990443 0.000495
325.000000 15.035125 0.000485
327.500000 12.943730 0.000391
330.000000 13.543376 0.000204
332.500000 13.698358 0.000103
335.000000 13.837068 0.000129
337.500000 13.590935 0.000607
340.000000 12.342858 0.000326
342.500000 13.360749 0.000106
345.000000 14.397345 0.000088
347.500000 14.445996 0.000160
350.000000 12.772867 0.000320
352.500000 12.967391 0.000139
355.000000 12.734782 0.000130
357.500000 12.110548 0.000166
360.000000 13.665862 0.000159
362.500000 12.483004 0.000305
365.000000 10.441563 0.000398
367.500000 11.361338 0.000212
370.000000 13.240996 0.000134
372.500000 13.407723 0.000090
375.000000 14.832852 0.000059
377.500000 13.413889 0.000095
380.000000 13.521975 0.000142
382.500000 15.868096 0.000218
385.000000 13.924991 0.000117
387.500000 13.199589 0.000163
390.000000 14.692606 0.000213
392.500000 15.389585 0.000581
395.000000 15.049559 0.000495
397.500000 12.261026 0.000301
400.000000 11.028633 0.000196
402.500000 12.662457 0.000163
405.000000 12.040010 0.000271
407.500000 14.126873 0.000238
410.000000 18.206425 0.000416
412.500000 17.282420 0.000416
415.000000 16.463316 0.000087
417.500000 19.160908 0.000126
420.000000 18.780256 0.000172
422.500000 18.483804 0.000107
425.000000 18.549860 0.000546
427.500000 18.811992 0.000268
430.000000 16.349464 0.001159
432.500000 16.525988 0.000090
435.000000 18.128623 0.000431
437.500000 19.829642 0.000075
440.000000 19.009648 0.000393
442.500000 18.031469 0.000182
445.000000 18.281199 0.000194
447.500000 19.017080 0.000447
450.000000 20.717529 0.000496
452.500000 22.670652 0.000518
455.000000 24.508020 0.000153
457.500000 23.488892 0.000325
460.000000 23.846443 0.000089
462.500000 23.542234 0.000740
465.000000 22.286280 0.000168
467.500000 20.910802 0.000095
470.000000 20.812926 0.000059
472.500000 20.332189 0.000156
475.000000 18.824437 0.000189
477.500000 19.073181 0.000412
480.000000 19.594327 0.000237
482.500000 17.533318 0.000175
485.000000 17.552369 0.000225
487.500000 20.069348 0.000181
490.000000 20.207336 0.000346
492.500000 22.051260 0.001291
495.000000 22.742947 0.000213
497.500000 21.792096 0.000496
500.000000 21.452792 0.000259
502.500000 24.712328 0.001651
505.000000 24.042652 0.001139
507.500000 23.846397 0.000234
510.000000 24.540575 0.000596
512.500000 25.202894 0.000522
515.000000 26.918269 0.000215
517.500000 28.426582 0.000175
520.000000 24.337397 0.000512
522.500000 22.611163 0.000113
525.000000 22.765239 0.000410
527.500000 20.706614 0.000781
530.000000 19.950445 0.000168
532.500000 20.689230 0.000170
535.000000 19.735355 0.000145
537.500000 18.623420 0.000262
540.000000 20.910035 0.000172
542.500000 21.016719 0.000096
545.000000 20.788729 0.000105
547.500000 20.652367 0.000341
550.000000 20.357006 0.000229
552.500000 20.377957 0.000243
555.000000 20.282631 0.000144
557.500000 22.857952 0.000371
560.000000 22.188764 0.000181
562.500000 21.742412 0.000297
565.000000 20.627039 0.000311
567.500000 17.620334 0.000997
570.000000 17.554667 0.001186
572.500000 17.704385 0.000426
575.000000 19.494852 0.000604
577.500000 19.093133 0.000472
580.000000 19.965667 0.000144
582.500000 19.285419 0.000119
585.000000 19.068306 0.000181
587.500000 21.038731 0.000634
590.000000 21.157438 0.000106
592.500000 20.205121 0.000202
595.000000 19.829425 0.001940
597.500000 23.226753 0.000808
600.000000 22.091650 0.001275
602.500000 22.490620 0.000639
605.000000 22.310991 0.000187
607.500000 24.156995 0.000093
610.000000 21.894683 0.000236
612.500000 21.971117 0.000140
615.000000 24.488425 0.000131
617.500000 23.868117 0.000209
620.000000 24.629309 0.000162
622.500000 26.109775 0.000170
625.000000 23.757736 0.000244
627.500000 22.026167 0.000225
630.000000 22.257089 0.000151
632.500000 23.995166 0.000525
635.000000 26.630840 0.002276
637.500000 25.365145 0.000382
640.000000 26.512512 0.000349
642.500000 26.046415 0.000275
645.000000 25.279404 0.000327
647.500000 28.437697 0.000217
650.000000 27.378033 0.000264
652.500000 24.123647 0.000346
655.000000 22.201733 0.000186
657.500000 22.700813 0.000132
660.000000 21.894495 0.000199
662.500000 24.674454 0.006013
665.000000 22.363893 0.000589
667.500000 23.542237 0.000103
670.000000 23.457499 0.000185
672.500000 21.980979 0.000224
675.000000 22.143105 0.000262
677.500000 20.944540 0.000186
680.000000 20.075100 0.000139
682.500000 17.949413 0.000427
685.000000 20.200795 0.000282
687.500000 22.332314 0.000470
690.000000 20.920862 0.001435
692.500000 19.759058 0.000325
695.000000 20.078031 0.000620
697.500000 20.938417 0.000450
700.000000 20.625431 0.000242
702.500000 23.580921 0.000115
705.000000 22.664799 0.000273
707.500000 23.259293 0.000559
710.000000 27.373373 0.000298
712.500000 27.239049 0.000230
715.000000 25.908570 0.000438
717.500000 26.331540 0.000880
720.000000 26.424321 0.000957
722.500000 25.233118 0.000171
725.000000 26.185588 0.000133
727.500000 24.065249 0.000158
730.000000 26.246431 0.000931
732.500000 26.693688 0.000386
735.000000 25.264312 0.000268
737.500000 28.567081 0.000179
740.000000 26.976443 0.001891
742.500000 26.265687 0.000720
745.000000 27.746184 0.000340
747.500000 27.299040 0.000180
750.000000 26.065647 0.000128
752.500000 24.723707 0.000131
755.000000 26.354833 0.000183
757.500000 25.001271 0.000398
760.000000 25.592990 0.000241
762.500000 28.483414 0.000049
765.000000 27.513473 0.000219
767.500000 27.558055 0.000242
770.000000 28.340686 0.000462
772.500000 30.022798 0.000365
775.000000 29.024161 0.000266
777.500000 30.389734 0.000676
780.000000 28.801742 0.000217
782.500000 27.937994 0.001227
785.000000 30.443891 0.000648
787.500000 27.590813 0.000567
790.000000 27.353898 0.000263
792.500000 27.538845 0.000193
795.000000 30.074460 0.000350
797.500000 29.695171 0.000431
800.000000 31.756784 0.000245
802.500000 32.999385 0.000210
805.000000 28.337087 0.000537
807.500000 29.135889 0.000418
810.000000 30.244825 0.000208
812.500000 29.695767 0.001515
815.000000 32.196439 0.000518
817.500000 32.658357 0.000184
820.000000 31.328479 0.000086
822.500000 33.106574 0.000147
825.000000 32.649646 0.000564
827.500000 32.496869 0.000204
830.000000 34.450863 0.000316
832.500000 37.512413 0.000437
835.000000 37.835713 0.000211
837.500000 40.173873 0.000555
840.000000 37.496145 0.001664
842.500000 34.734750 0.000760
845.000000 35.915429 0.000243
847.500000 35.797913 0.000909
850.000000 38.116823 0.000393
852.500000 38.645195 0.000110
855.000000 40.859619 0.000236
857.500000 37.832482 0.000215
860.000000 37.903049 0.000436
862.500000 36.582862 0.000543
865.000000 35.690546 0.000279
867.500000 34.989252 0.000330
870.000000 33.149810 0.000421
872.500000 30.578156 0.000629
875.000000 29.556311 0.000527
877.500000 30.664417 0.000110
880.000000 33.145234 0.000408
882.500000 34.224132 0.000366
885.000000 33.094721 0.000670
887.500000 35.180107 0.000173
890.000000 37.817097 0.000363
892.500000 37.768852 0.000377
895.000000 40.060548 0.000300
897.500000 40.804158 0.000145
900.000000 38.991565 0.000054
902.500000 38.181831 0.000331
